VacancyID,Job Title,Language,Education Level,Industry,Experience,VacancyDescription
47662,Data Analyst,French,Bachelor,Transport,10+,"We are looking for an additional Data Analyst to strengthen our team in the Transport industry with knowledge of French and 10+ years of experience, preferably with a Bachelor degree."
31199,Finance Manager,Dutch,Bachelor,Education,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Education industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
31443,Finance Manager,Dutch,Master,Financial intermediation,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Financial intermediation industry with knowledge of Dutch and 5-10 years of experience, preferably with a Master degree."
46061,Janitor,English,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of English and 2-4 years of experience, preferably with a High School degree."
40044,Finance Manager,Spanish,Master,Transport,10+,"We are looking for an additional Finance Manager to strengthen our team in the Transport industry with knowledge of Spanish and 10+ years of experience, preferably with a Master degree."
34121,Finance Manager,English,Master,Construction,10+,"We are looking for an additional Finance Manager to strengthen our team in the Construction industry with knowledge of English and 10+ years of experience, preferably with a Master degree."
28701,Cashier,Dutch,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
36548,Truck Driver,German,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
31448,Administrative Clerk,English,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
36207,Finance Manager,English,Master,Construction,10+,"We are looking for an additional Finance Manager to strengthen our team in the Construction industry with knowledge of English and 10+ years of experience, preferably with a Master degree."
43115,Administrative Clerk,English,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
48836,Finance Manager,English,Master,Manufacturing,10+,"We are looking for an additional Finance Manager to strengthen our team in the Manufacturing industry with knowledge of English and 10+ years of experience, preferably with a Master degree."
32678,Cashier,English,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
31791,Finance Manager,Dutch,Bachelor,Pharmaceutical,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Pharmaceutical industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
48452,Truck Driver,Spanish,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 10+ years of experience, preferably with a High School degree."
42115,Data Analyst,French,Bachelor,Education,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Education industry with knowledge of French and 2-4 years of experience, preferably with a Bachelor degree."
39641,Data Analyst,Spanish,Master,Construction,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Construction industry with knowledge of Spanish and 0-1 years of experience, preferably with a Master degree."
41662,Data Analyst,Spanish,Bachelor,Financial intermediation,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Financial intermediation industry with knowledge of Spanish and 2-4 years of experience, preferably with a Bachelor degree."
46101,Janitor,Spanish,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
44088,Finance Manager,French,Master,Construction,10+,"We are looking for an additional Finance Manager to strengthen our team in the Construction industry with knowledge of French and 10+ years of experience, preferably with a Master degree."
36968,Janitor,Dutch,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
45452,Janitor,French,High School,Cleaning,10+,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
27612,Administrative Clerk,Dutch,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
48966,Administrative Clerk,French,Bachelor,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 10+ years of experience, preferably with a Bachelor degree."
44970,Data Analyst,Spanish,Master,Wholesale and retail,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 0-1 years of experience, preferably with a Master degree."
25709,Finance Manager,English,Bachelor,Energy,10+,"We are looking for an additional Finance Manager to strengthen our team in the Energy industry with knowledge of English and 10+ years of experience, preferably with a Bachelor degree."
36153,Administrative Clerk,German,High school,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 2-4 years of experience, preferably with a High school degree."
32940,Cleaner,English,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
49984,Cleaner,German,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
26058,Cashier,Dutch,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 2-4 years of experience, preferably with a High School degree."
43983,Data Analyst,German,Master,Wholesale and retail,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of German and 2-4 years of experience, preferably with a Master degree."
45940,Janitor,Spanish,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
49399,Cleaner,Spanish,High School,Cleaning,2-4,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
33781,Data Analyst,French,Bachelor,Technology,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Technology industry with knowledge of French and 5-10 years of experience, preferably with a Bachelor degree."
36151,Finance Manager,French,Master,Agriculture,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Agriculture industry with knowledge of French and 5-10 years of experience, preferably with a Master degree."
43396,Finance Manager,Dutch,Bachelor,Hotels and restaurants,10+,"We are looking for an additional Finance Manager to strengthen our team in the Hotels and restaurants industry with knowledge of Dutch and 10+ years of experience, preferably with a Bachelor degree."
40802,Janitor,French,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
36843,Cleaner,English,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
43691,Janitor,Dutch,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
36324,Cleaner,English,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
26940,Finance Manager,English,Master,Research,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of English and 5-10 years of experience, preferably with a Master degree."
41672,Professor,English,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 2-4 years of experience, preferably with a PhD degree."
47916,Cashier,Spanish,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 10+ years of experience, preferably with a High School degree."
31068,Finance Manager,English,Bachelor,Financial intermediation,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Financial intermediation industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
36317,Professor,Dutch,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Dutch and 5-10 years of experience, preferably with a PhD degree."
40631,Cashier,Spanish,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
29231,Professor,French,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 5-10 years of experience, preferably with a PhD degree."
32373,Finance Manager,German,Master,Research,10+,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of German and 10+ years of experience, preferably with a Master degree."
30961,Administrative Clerk,Spanish,Bachelor,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
49283,Janitor,English,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
47877,Finance Manager,French,Bachelor,Education,10+,"We are looking for an additional Finance Manager to strengthen our team in the Education industry with knowledge of French and 10+ years of experience, preferably with a Bachelor degree."
47312,Administrative Clerk,English,High school,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 2-4 years of experience, preferably with a High school degree."
31262,Truck Driver,German,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
25460,Data Analyst,German,Master,Manufacturing,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Manufacturing industry with knowledge of German and 0-1 years of experience, preferably with a Master degree."
25187,Cleaner,English,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
40796,Professor,Dutch,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Dutch and 2-4 years of experience, preferably with a PhD degree."
25147,Truck Driver,French,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
43336,Cashier,English,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
38808,Administrative Clerk,German,Bachelor,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 0-1 years of experience, preferably with a Bachelor degree."
27296,Finance Manager,Spanish,Bachelor,Agriculture,10+,"We are looking for an additional Finance Manager to strengthen our team in the Agriculture industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
43270,Cleaner,English,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
39279,Cleaner,English,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
44760,Data Analyst,German,Master,Hotels and restaurants,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Hotels and restaurants industry with knowledge of German and 0-1 years of experience, preferably with a Master degree."
34946,Janitor,German,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 0-1 years of experience, preferably with a High School degree."
41481,Finance Manager,Dutch,Master,Education,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Education industry with knowledge of Dutch and 5-10 years of experience, preferably with a Master degree."
